Author name,Document index,Paragraph index,Sentence index,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98
Obama,0,0,0,My,fellow,citizens,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,1,0,I,stand,here,today,humbled,by,the,task,before,us,",",grateful,for,the,trust,you,have,bestowed,",",mindful,of,the,sacrifices,borne,by,our,ancestors,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,1,1,I,thank,President,Bush,for,his,service,to,our,nation,",",as,well,as,the,generosity,and,cooperation,he,has,shown,throughout,this,transition,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,2,0,Forty,-,four,Americans,have,now,taken,the,presidential,oath,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,2,1,The,words,have,been,spoken,during,rising,tides,of,prosperity,and,the,still,waters,of,peace,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,2,2,Yet,",",every,so,often,the,oath,is,taken,amidst,gathering,clouds,and,raging,storms,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,2,3,At,these,moments,",",America,has,carried,on,not,simply,because,of,the,skill,or,vision,of,those,in,high,office,",",but,because,We,the,People,have,remained,faithful,to,the,ideals,of,our,forbearers,",",and,true,to,our,founding,documents,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,3,0,So,it,has,been,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,3,1,So,it,must,be,with,this,generation,of,Americans,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,4,0,That,we,are,in,the,midst,of,crisis,is,now,well,understood,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,4,1,Our,nation,is,at,war,",",against,a,far,-,reaching,network,of,violence,and,hatred,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,4,2,Our,economy,is,badly,weakened,",",a,consequence,of,greed,and,irresponsibility,on,the,part,of,some,",",but,also,our,collective,failure,to,make,hard,choices,and,prepare,the,nation,for,a,new,age,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,4,3,Homes,have,been,lost,;,jobs,shed,;,businesses,shuttered,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,4,4,Our,health,care,is,too,costly,;,our,schools,fail,too,many,;,and,each,day,brings,further,evidence,that,the,ways,we,use,energy,strengthen,our,adversaries,and,threaten,our,planet,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,5,0,These,are,the,indicators,of,crisis,",",subject,to,data,and,statistics,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,5,1,Less,measurable,but,no,less,profound,is,a,sapping,of,confidence,across,our,land,--,a,nagging,fear,that,America,',s,decline,is,inevitable,",",that,the,next,generation,must,lower,its,sights,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,6,0,Today,I,say,to,you,that,the,challenges,we,face,are,real,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,6,1,They,are,serious,and,they,are,many,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,6,2,They,will,not,be,met,easily,or,in,a,short,span,of,time,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,6,3,But,know,this,",",America,--,they,will,be,met,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,7,0,On,this,day,",",we,gather,because,we,have,chosen,hope,over,fear,",",unity,of,purpose,over,conflict,and,discord,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,8,0,On,this,day,",",we,come,to,proclaim,an,end,to,the,petty,grievances,and,false,promises,",",the,recriminations,and,worn,-,out,dogmas,that,for,far,too,long,have,strangled,our,politics,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,9,0,We,remain,a,young,nation,",",but,in,the,words,of,Scripture,",",the,time,has,come,to,set,aside,childish,things,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,9,1,The,time,has,come,to,reaffirm,our,enduring,spirit,;,to,choose,our,better,history,;,to,carry,forward,that,precious,gift,",",that,noble,idea,",",passed,on,from,generation,to,generation,:,the,God,-,given,promise,that,all,are,equal,",",all,are,free,",",and,all,deserve,a,chance,to,pursue,their,full,measure,of,happiness,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,10,0,In,reaffirming,the,greatness,of,our,nation,",",we,understand,that,greatness,is,never,a,given,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,10,1,It,must,be,earned,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,10,2,Our,journey,has,never,been,one,of,shortcuts,or,settling,for,less,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,10,3,It,has,not,been,the,path,for,the,faint,-,hearted,--,for,those,who,prefer,leisure,over,work,",",or,seek,only,the,pleasures,of,riches,and,fame,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,10,4,Rather,",",it,has,been,the,risk,-,takers,",",the,doers,",",the,makers,of,things,',some,celebrated,but,more,often,men,and,women,obscure,in,their,labor,",",who,have,carried,us,up,the,long,",",rugged,path,towards,prosperity,and,freedom,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,11,0,For,us,",",they,packed,up,their,few,worldly,possessions,and,traveled,across,oceans,in,search,of,a,new,life,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,12,0,For,us,",",they,toiled,in,sweatshops,and,settled,the,West,;,endured,the,lash,of,the,whip,and,plowed,the,hard,earth,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,13,0,For,us,",",they,fought,and,died,",",in,places,like,Concord,and,Gettysburg,;,Normandy,and,Khe,Sahn,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,14,0,Time,and,again,these,men,and,women,struggled,and,sacrificed,and,worked,till,their,hands,were,raw,so,that,we,might,live,a,better,life,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,14,1,They,saw,America,as,bigger,than,the,sum,of,our,individual,ambitions,;,greater,than,all,the,differences,of,birth,or,wealth,or,faction,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,15,0,This,is,the,journey,we,continue,today,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,15,1,We,remain,the,most,prosperous,",",powerful,nation,on,Earth,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,15,2,Our,workers,are,no,less,productive,than,when,this,crisis,began,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,15,3,Our,minds,are,no,less,inventive,",",our,goods,and,services,no,less,needed,than,they,were,last,week,or,last,month,or,last,year,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,15,4,Our,capacity,remains,undiminished,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,15,5,But,our,time,of,standing,pat,",",of,protecting,narrow,interests,and,putting,off,unpleasant,decisions,--,that,time,has,surely,passed,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,15,6,Starting,today,",",we,must,pick,ourselves,up,",",dust,ourselves,off,",",and,begin,again,the,work,of,remaking,America,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,0,For,everywhere,we,look,",",there,is,work,to,be,done,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,1,The,state,of,our,economy,calls,for,action,",",bold,and,swift,",",and,we,will,act,--,not,only,to,create,new,jobs,",",but,to,lay,a,new,foundation,for,growth,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,2,We,will,build,the,roads,and,bridges,",",the,electric,grids,and,digital,lines,that,feed,our,commerce,and,bind,us,together,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,3,We,will,restore,science,to,its,rightful,place,",",and,wield,technology,',s,wonders,to,raise,health,care,',s,quality,and,lower,its,cost,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,4,We,will,harness,the,sun,and,the,winds,and,the,soil,to,fuel,our,cars,and,run,our,factories,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,5,And,we,will,transform,our,schools,and,colleges,and,universities,to,meet,the,demands,of,a,new,age,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,6,All,this,we,can,do,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,16,7,All,this,we,will,do,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,17,0,Now,",",there,are,some,who,question,the,scale,of,our,ambitions,--,who,suggest,that,our,system,cannot,tolerate,too,many,big,plans,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,17,1,Their,memories,are,short,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,17,2,For,they,have,forgotten,what,this,country,has,already,done,;,what,free,men,and,women,can,achieve,when,imagination,is,joined,to,common,purpose,",",and,necessity,to,courage,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,18,0,What,the,cynics,fail,to,understand,is,that,the,ground,has,shifted,beneath,them,--,that,the,stale,political,arguments,that,have,consumed,us,for,so,long,no,longer,apply,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,18,1,The,question,we,ask,today,is,not,whether,our,government,is,too,big,or,too,small,",",but,whether,it,works,--,whether,it,helps,families,find,jobs,at,a,decent,wage,",",care,they,can,afford,",",a,retirement,that,is,dignified,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,18,2,Where,the,answer,is,yes,",",we,intend,to,move,forward,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,18,3,Where,the,answer,is,no,",",programs,will,end,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,18,4,And,those,of,us,who,manage,the,public,',s,dollars,will,be,held,to,account,--,to,spend,wisely,",",reform,bad,habits,",",and,do,our,business,in,the,light,of,day,--,because,only,then,can,we,restore,the,vital,trust,between,a,people,and,their,government,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,19,0,Nor,is,the,question,before,us,whether,the,market,is,a,force,for,good,or,ill,.,Its,power,to,generate,wealth,and,expand,freedom,is,unmatched,",",but,this,crisis,has,reminded,us,that,without,a,watchful,eye,",",the,market,can,spin,out,of,control,--,the,nation,cannot,prosper,long,when,it,favors,only,the,prosperous,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,19,1,The,success,of,our,economy,has,always,depended,not,just,on,the,size,of,our,Gross,Domestic,Product,",",but,on,the,reach,of,our,prosperity,;,on,the,ability,to,extend,opportunity,to,every,willing,heart,--,not,out,of,charity,",",but,because,it,is,the,surest,route,to,our,common,good,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,20,0,As,for,our,common,defense,",",we,reject,as,false,the,choice,between,our,safety,and,our,ideals,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,20,1,Our,Founding,Fathers,",",faced,with,perils,that,we,can,scarcely,imagine,",",drafted,a,charter,to,assure,the,rule,of,law,and,the,rights,of,man,",",a,charter,expanded,by,the,blood,of,generations,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,20,2,Those,ideals,still,light,the,world,",",and,we,will,not,give,them,up,for,expedience,',s,sake,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,20,3,And,so,to,all,the,other,peoples,and,governments,who,are,watching,today,",",from,the,grandest,capitals,to,the,small,village,where,my,father,was,born,:,know,that,America,is,a,friend,of,each,nation,and,every,man,",",woman,",",and,child,who,seeks,a,future,of,peace,and,dignity,",",and,we,are,ready,to,lead,once,more,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,21,0,Recall,that,earlier,generations,faced,down,fascism,and,communism,not,just,with,missiles,and,tanks,",",but,with,the,sturdy,alliances,and,enduring,convictions,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,21,1,They,understood,that,our,power,alone,cannot,protect,us,",",nor,does,it,entitle,us,to,do,as,we,please,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,21,2,Instead,",",they,knew,that,our,power,grows,through,its,prudent,use,;,our,security,emanates,from,the,justness,of,our,cause,",",the,force,of,our,example,",",the,tempering,qualities,of,humility,and,restraint,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,22,0,We,are,the,keepers,of,this,legacy,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,0,22,1,Guided,by,these,principles,once,more,",",we,can,meet,those,new,threats,that,demand,even,greater,effort,--,even,greater,cooperation,and,understanding,between,nations,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
